S5A,STA1W,WCA1ME,1-8C,S6,S39
0,0,0.02,0.05,0,0
0.1,0.43,0,0,0.46,0.51
0.19,0.16,0.32,0.76,0.11,0.89
0.25,0.36,0.29,0.77,0.01,0.52
0.97,0.73,1.38,0.44,2.08,0.21
0.08,0.01,0.01,0.19,0.14,0.02
0.04,0.14,0.02,0.05,0.03,0.14
1.85,0.17,1.33,0.47,0.89,0.46
0.16,0.47,0.57,0.39,0.56,0.64
1.32,0.66,1.22,0.33,0.66,3.03
0,0.01,0,0,0.02,0.21
0,0,0,0,0,0
0,0,0,0,0,0
0,0.09,0,0.83,1.07,0.09
0,0,0.22,0,0.27,0.78
0,0.08,0.02,0.93,0.16,0.61
0,0.01,0.3,0.29,0.39,0.13
0,0.02,0.02,1.3,0.01,0.07
0,0.04,0.1,0.01,0.02,0.17
0,0.15,0.02,0,0.01,0.26
0,0.59,0,0,0.05,0.01
0,0,0,0,0,0
0,0,0,0,0,0
0,0.19,0,0,0.01,0.01
0,0,0.12,0.09,0.17,0.05
0,0.59,0.42,0.61,0.09,0.03
0.01,0,0,0,0,0
0,0,0,0,0,0.01
0,0,0,0.06,0,0
0,0,0,0,0,0.01
0,0,0,0,0,0
0,0.02,0.06,0,0.42,0.01
0.03,0,0.04,0,0.11,0.05
0.02,0.03,0.02,0.22,0.1,0.13
0,0,0,0.04,0,0
0,0,0,0,0,0.01
0,0,0,0,0.1,0.06
0,0.01,0,0,0.01,0.01
0,0,0,0,0,0.01
0,0,0,0,0,0.03
1.29,1.23,1.08,0.35,0.19,0.15
2.29,0.37,0.9,0.76,0.96,0.39
0,0.01,0.11,0.31,0.03,0.01
0.13,1.02,0.02,0.19,0.42,0.17
0,0.13,0,0.01,0,0.02
0,0.51,0.16,0.07,0.09,0.27
0,1.84,0.22,0.04,1.49,0.04
0.37,0.75,0,0,0.03,0.01
0.01,0.04,0,0,0.01,0.27
0.16,2.24,0,0.69,0.1,0.02
1.1,4.7,0.32,0.15,1.02,0.26
1.11,0.9,0.36,0.07,0.04,0.02
0.13,0.13,0.24,1.53,0.1,0.94
0,0.74,0.56,0.1,0.01,0.37
0,0.01,0.05,0,0.14,0.09
0,0,0.04,0.03,0,0.01
0,0.43,0,0.63,0.63,0.79
1.08,1.39,,1.45,1.76,0.69
0,0.04,0,0.05,0.18,0.01
0.01,0.27,0.06,0.16,0,0.25
0.46,0.85,1.19,0.75,0.05,0.22
1.3,0.83,1.41,1.58,1.67,1.23
0.17,0.12,1.31,0.48,1.03,1
0.48,0.35,1.52,1.21,0.21,0.78
0,0.32,0,0,0.03,0.03
0,0,0,0.2,0.01,0.01
0.46,0.22,0.02,0.03,0.52,0.03
